ESTADO;MORT1;ANOSEST;T_ANALF25M;RDPC;POPT;IDHM
RO;20.82;8.31;10.66;667.41;1641072;0.715
AC;18.37;7.95;17.19;548.24;762502;0.719
AM;19.38;9.21;8.06;579.45;3769444;0.709
RR;17.57;9.29;9.95;665.19;472758;0.732
PA;17.65;7.78;12.81;469.47;7615746;0.675
AP;23.67;9.69;5.67;630.72;741289;0.747
TO;16.86;8.16;15.4;628.99;1456641;0.732
MA;23.52;7.09;25.63;424.12;6525585;0.678
PI;20.37;6.8;25.62;487.9;3178322;0.678
CE;15.81;7.44;20.65;481.88;8624448;0.716
RN;16.14;7.6;20.67;531.69;3368229;0.717
PB;17.97;7.48;21.39;545.34;3844026;0.701
PE;13.99;7.94;18.1;529.47;8750240;0.709
AL;22.36;6.69;28.46;414.51;3265569;0.667
SE;17.94;7.24;21.56;500.83;2156005;0.681
BA;18.95;7.63;18.2;558.53;14673318;0.703
MG;11.97;8.47;8.67;790.11;20242670;0.769
ES;9.64;8.8;8,00;816.08;3678560;0.771
RJ;12.29;9.94;3.81;997.62;15635042;0.778
SP;10.49;9.87;4.53;1047.38;40350800;0.819
PR;10.13;9.17;6.04;926.12;10817027;0.79
SC;9.8;9.25;4.06;1042.82;6408973;0.813
RS;10.16;8.97;5.3;1000.62;10851074;0.779
MS;14.94;8.8;7.77;930.5;2599715;0.762
MT;17.71;8.74;9.09;844.21;3141541;0.767
GO;15.79;8.6;9.59;796.18;6373595;0.75
DF;10.99;10.98;3.35;1606.4;2756412;0.839
